property_phys_chem_id;procedure_phys_chem_id;unit_of_measure_id;value_min;value_max;definition;common_input_units;conversion_factors;notes
Aluminium (Al+++) - exchangeable;ExchBases_ph0-cohex;cmol/kg;0;100;Exch bases (Ca, Mg, K, Na) unbuffered, in Cobalt(III) hexamine chloride solution 0,0166M (Cohex) [Co[NH3]6]Cl3 ), ISO 23470 (2007);"cmol/kg;meq/100g;mmol/kg;mg/kg";"1;1;10;0.0037";"cmol/kg = meq/100g; 1 cmol/kg Al = 270 mg/kg"
Aluminium (Al+++) - exchangeable;ExchBases_ph0-nh4cl;cmol/kg;0;100;Exch bases (Ca, Mg, K, Na) unbuffered, in 1 M NH4Cl (0.05-1.0 m?);"cmol/kg;meq/100g;mmol/kg;mg/kg";"1;1;10;0.0037";"cmol/kg = meq/100g; 1 cmol/kg Al = 270 mg/kg"
Aluminium (Al+++) - exchangeable;ExchBases_ph7-nh4oac;cmol/kg;0;100;Exch bases (Ca, Mg, K, Na) buffered at pH 7, in 1M NH4OAc;"cmol/kg;meq/100g;mmol/kg;mg/kg";"1;1;10;0.0037";"cmol/kg = meq/100g; 1 cmol/kg Al = 270 mg/kg"
Aluminium (Al+++) - exchangeable;ExchBases_ph7-nh4oac-aas;cmol/kg;0;100;Exch bases (Ca, Mg, K, Na) buffered at pH 7, in 1M NH4OAc, Ca and Mg with AAS (Atomic Absorption Spectrometry);"cmol/kg;meq/100g;mmol/kg;mg/kg";"1;1;10;0.0037";"cmol/kg = meq/100g; 1 cmol/kg Al = 270 mg/kg"
Aluminium (Al+++) - exchangeable;ExchBases_ph7-nh4oac-fp;cmol/kg;0;100;Exch bases (Ca, Mg, K, Na) buffered at pH 7, in 1M NH4OAc, K and Na with FP (Flame Photometry);"cmol/kg;meq/100g;mmol/kg;mg/kg";"1;1;10;0.0037";"cmol/kg = meq/100g; 1 cmol/kg Al = 270 mg/kg"
Aluminium (Al+++) - exchangeable;ExchBases_ph7-unkn;cmol/kg;0;100;Exch bases (Ca, Mg, K, Na) buffered at pH 7, in unknown solution;"cmol/kg;meq/100g;mmol/kg;mg/kg";"1;1;10;0.0037";"cmol/kg = meq/100g; 1 cmol/kg Al = 270 mg/kg"
Aluminium (Al+++) - exchangeable;ExchBases_ph8-bacl2tea;cmol/kg;0;100;Exch bases (Ca, Mg, K, Na) buffered at pH 8.0-8.5, in 0.5 M BaCl2 - TEA solution;"cmol/kg;meq/100g;mmol/kg;mg/kg";"1;1;10;0.0037";"cmol/kg = meq/100g; 1 cmol/kg Al = 270 mg/kg"
Aluminium (Al+++) - exchangeable;ExchBases_ph8-unkn;cmol/kg;0;100;Exch bases (Ca, Mg, K, Na) buffered at pH 8.0-8.5, in unknown solution;"cmol/kg;meq/100g;mmol/kg;mg/kg";"1;1;10;0.0037";"cmol/kg = meq/100g; 1 cmol/kg Al = 270 mg/kg"
Aluminium (Al+++) - saturation (ESP);calculated_eCEC;%;0;100;Not included in the original GLOSIS list;"%;fraction";"1;100";% = fraction * 100
aluminiumProperty;Total_h2so4;%;0;100;Total P-/- colorimetric in H2SO4-Se-Salicylic acid digest( sulfuric acid) Particularly used for Total P.;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
aluminiumProperty;Total_hcl;%;0;100;HCl extraction. Particularly used for Total P.;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
aluminiumProperty;Total_hcl-aquaregia;%;0;100;Hydrocloric (HCl) extraction in nitric/perchloric acid mixture (totals) aqua regia;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
aluminiumProperty;Total_hclo4;%;0;100;Perchloric acid percolation. Particularly used for Total P.;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
aluminiumProperty;Total_hno3-aquafortis;%;0;100;Nitric acid attack. Particularly used for Total P.;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
aluminiumProperty;Total_nh4-6mo7o24;%;0;100;COLORIMETRIC VANADATE MOLYBDATE. Particularly used for Total P.;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
aluminiumProperty;Total_tp03;%;0;100;reagent of Baeyens. Precipitation in form of Phosphomolybdate. Particularly used for Total P.;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
aluminiumProperty;Total_tp04;%;0;100;acid fleischman. Particularly used for Total P.;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
aluminiumProperty;Total_tp05;%;0;100;8 M HCl extraction. Particularly used for Total P.;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
aluminiumProperty;Total_tp06;%;0;100;Molybdenum blue method, using ascorbic acid as reductant after heating of soil to 550 C and extraction with 6M sulphuric acid. Particularly used for Total P.;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
aluminiumProperty;Total_tp07;%;0;100;1:1 H2SO4 : HNO3. Particularly used for Total P.;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
aluminiumProperty;Total_tp08;%;0;100;After Nitric acid attack (boiling with HNO3), colometric determination (method of Duval).. Particularly used for Total P.;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
aluminiumProperty;Total_tp09;%;0;100;Walker and Adams, 1958. Particularly used for Total P.;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
aluminiumProperty;Total_tp10;%;0;100;Colorimetric, unspecified extract;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
aluminiumProperty;Total_unkn;%;0;100;Unspecified method;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
aluminiumProperty;Total_xrd;%;0;100;XRD;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
aluminiumProperty;Total_xrf;%;0;100;XRF;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
aluminiumProperty;Total_xrf-p;%;0;100;PXRF;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
aluminiumProperty;Total_xtf-t;%;0;100;TXRF;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Available water capacity - volumetric (FC to WP);PAWHC_calcul-fc100wp;m3/100 m3;0;100;Plant available water holding capacity of the soil fine earth fraction, calculated with field capacity defined at 100 cm (pF 2.0);"m3/100 m3;%;cm3/100cm3;vol/vol";"1;1;1;100";m3/100 m3 = % = cm3/100cm3
Available water capacity - volumetric (FC to WP);PAWHC_calcul-fc200wp;m3/100 m3;0;100;Plant available water holding capacity of the soil fine earth fraction, calculated with field capacity defined at 200 cm (pF 2.3);"m3/100 m3;%;cm3/100cm3;vol/vol";"1;1;1;100";m3/100 m3 = % = cm3/100cm3
Available water capacity - volumetric (FC to WP);PAWHC_calcul-fc300wp;m3/100 m3;0;100;Plant available water holding capacity of the soil fine earth fraction, calculated with field capacity defined at 300 cm (pF 2.5);"m3/100 m3;%;cm3/100cm3;vol/vol";"1;1;1;100";m3/100 m3 = % = cm3/100cm3
Base saturation - calculated;BSat_calcul-cec;%;0;100;Sum of exchangeable bases (Ca++, Mg++, K+, Na+) as percentage of CEC (method specified with CEC and ExchBases);"%;fraction";"1;100";% = fraction * 100
Base saturation - calculated;BSat_calcul-ecec;%;0;100;Sum of exchangeable bases (Ca++, Mg++, K+, Na+) as percentage of EffCEC (method specified with EffCEC and ExchBases);"%;fraction";"1;100";% = fraction * 100
Boron (B) - extractable;Extr_ap14;%;0;100;Method of Saunders and Metelerkamp (anion-exch. resin). Particularly used for available P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";"mg/kg = ppm = ug/g; If reference should be mg/kg, use factors: 10000;1;1;1"
Boron (B) - extractable;Extr_ap15;%;0;100;Method of Hunter (1975) modified after ISFEI method. Particularly used for available P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";"mg/kg = ppm = ug/g; If reference should be mg/kg, use factors: 10000;1;1;1"
Boron (B) - extractable;Extr_ap20;%;0;100;Olsen (not acid soils) resp. Bray I (acid soils). Particularly used for available P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";"mg/kg = ppm = ug/g; If reference should be mg/kg, use factors: 10000;1;1;1"
Boron (B) - extractable;Extr_ap21;%;0;100;Olsen (if pH > 7) resp. Mehlich (if pH < 7). Particularly used for available P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";"mg/kg = ppm = ug/g; If reference should be mg/kg, use factors: 10000;1;1;1"
Boron (B) - extractable;Extr_c6h8o7-reeuwijk;%;0;100;Complexation with citric acid (van Reeuwijk). Particularly used for available P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";"mg/kg = ppm = ug/g; If reference should be mg/kg, use factors: 10000;1;1;1"
Boron (B) - extractable;Extr_cacl2;%;0;100;CaCl2. Particularly used for soluble P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";"mg/kg = ppm = ug/g; If reference should be mg/kg, use factors: 10000;1;1;1"
Boron (B) - extractable;Extr_capo4;%;0;100;Ca phosphate. Particularly used for available S.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";"mg/kg = ppm = ug/g; If reference should be mg/kg, use factors: 10000;1;1;1"
Boron (B) - extractable;Extr_dtpa;%;0;100;DiethyneleTriaminePentaAcetic acid (DTPA) method;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";"mg/kg = ppm = ug/g; If reference should be mg/kg, use factors: 10000;1;1;1"
Boron (B) - extractable;Extr_edta;%;0;100;EthyleneDiamineTetraAcetic acid (EDTA) method;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";"mg/kg = ppm = ug/g; If reference should be mg/kg, use factors: 10000;1;1;1"
Boron (B) - extractable;Extr_h2so4-truog;%;0;100;Method of Truog (dilute H2SO4). Particularly used for available P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";"mg/kg = ppm = ug/g; If reference should be mg/kg, use factors: 10000;1;1;1"
Boron (B) - extractable;Extr_hcl-h2so4-nelson;%;0;100;Method of Nelson (dilute HCl/H2SO4). Particularly used for available P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";"mg/kg = ppm = ug/g; If reference should be mg/kg, use factors: 10000;1;1;1"
Boron (B) - extractable;Extr_hcl-nh4f-bray1;%;0;100;Method of Bray I  (dilute HCl/NH4F). Particularly used for available P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";"mg/kg = ppm = ug/g; If reference should be mg/kg, use factors: 10000;1;1;1"
Boron (B) - extractable;Extr_hcl-nh4f-bray2;%;0;100;Method of Bray II (dilute HCl/NH4F). Particularly used for available P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";"mg/kg = ppm = ug/g; If reference should be mg/kg, use factors: 10000;1;1;1"
Boron (B) - extractable;Extr_hcl-nh4f-kurtz-bray;%;0;100;Method of Kurtz-Bray I (0.025 M HCl + 0.03 M NH4F). Particularly used for available P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";"mg/kg = ppm = ug/g; If reference should be mg/kg, use factors: 10000;1;1;1"
Boron (B) - extractable;Extr_hno3;%;0;100;Nitric acid (HNO3) method;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";"mg/kg = ppm = ug/g; If reference should be mg/kg, use factors: 10000;1;1;1"
Boron (B) - extractable;Extr_hotwater;%;0;100;Hot water. Particularly used for available B;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";"mg/kg = ppm = ug/g; If reference should be mg/kg, use factors: 10000;1;1;1"
Boron (B) - extractable;Extr_m1;%;0;100;Mehlich1 method;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";"mg/kg = ppm = ug/g; If reference should be mg/kg, use factors: 10000;1;1;1"
Boron (B) - extractable;Extr_m2;%;0;100;Mehlich2 method;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";"mg/kg = ppm = ug/g; If reference should be mg/kg, use factors: 10000;1;1;1"
Boron (B) - extractable;Extr_m3;%;0;100;Mehlich3 method (extractant 0.2 N CH3COOH + 0.25 N NH4NO3 + 0.015 N NH4F + 0.013 N HNO3 + 0.001 M EDTA);"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";"mg/kg = ppm = ug/g; If reference should be mg/kg, use factors: 10000;1;1;1"
Boron (B) - extractable;Extr_m3-spec;%;0;100;Spectrally measured and converted to Mehlich3 method (extractant 0.2 N CH3COOH + 0.25 N NH4NO3 + 0.015 N NH4F + 0.013 N HNO3 + 0.001 M EDTA);"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";"mg/kg = ppm = ug/g; If reference should be mg/kg, use factors: 10000;1;1;1"
Boron (B) - extractable;Extr_nahco3-olsen;%;0;100;Method of Olsen (0.5 M Sodium Bicarbonate (NaHCO3) extraction at pH8.5). Particularly used for available P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";"mg/kg = ppm = ug/g; If reference should be mg/kg, use factors: 10000;1;1;1"
Boron (B) - extractable;Extr_nahco3-olsen-dabin;%;0;100;Method of Olsen, modified by Dabin (ORSTOM). Particularly used for available P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";"mg/kg = ppm = ug/g; If reference should be mg/kg, use factors: 10000;1;1;1"
Boron (B) - extractable;Extr_naoac-morgan;%;0;100;Method of Morgan (Na-acetate/acetic acid). Particularly used for available P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";"mg/kg = ppm = ug/g; If reference should be mg/kg, use factors: 10000;1;1;1"
Boron (B) - extractable;Extr_nh4-co3-2-ambic1;%;0;100;Ambic1 method (ammonium bicarbonate) (South Africa). Particularly used for available P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";"mg/kg = ppm = ug/g; If reference should be mg/kg, use factors: 10000;1;1;1"
Boron (B) - extractable;Extr_nh4ch3ch-oh-cooh-leuven;%;0;100;NH4-lactate extraction method (KU-Leuven). Particularly used for available P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";"mg/kg = ppm = ug/g; If reference should be mg/kg, use factors: 10000;1;1;1"
Boron (B) - total;Total_h2so4;%;0;100;Total P-/- colorimetric in H2SO4-Se-Salicylic acid digest( sulfuric acid) Particularly used for Total P.;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Boron (B) - total;Total_hcl;%;0;100;HCl extraction. Particularly used for Total P.;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Boron (B) - total;Total_hcl-aquaregia;%;0;100;Hydrocloric (HCl) extraction in nitric/perchloric acid mixture (totals) aqua regia;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Boron (B) - total;Total_hclo4;%;0;100;Perchloric acid percolation. Particularly used for Total P.;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Boron (B) - total;Total_hno3-aquafortis;%;0;100;Nitric acid attack. Particularly used for Total P.;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Boron (B) - total;Total_nh4-6mo7o24;%;0;100;COLORIMETRIC VANADATE MOLYBDATE. Particularly used for Total P.;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Boron (B) - total;Total_tp03;%;0;100;reagent of Baeyens. Precipitation in form of Phosphomolybdate. Particularly used for Total P.;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Boron (B) - total;Total_tp04;%;0;100;acid fleischman. Particularly used for Total P.;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Boron (B) - total;Total_tp05;%;0;100;8 M HCl extraction. Particularly used for Total P.;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Boron (B) - total;Total_tp06;%;0;100;Molybdenum blue method, using ascorbic acid as reductant after heating of soil to 550 C and extraction with 6M sulphuric acid. Particularly used for Total P.;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Boron (B) - total;Total_tp07;%;0;100;1:1 H2SO4 : HNO3. Particularly used for Total P.;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Boron (B) - total;Total_tp08;%;0;100;After Nitric acid attack (boiling with HNO3), colometric determination (method of Duval).. Particularly used for Total P.;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Boron (B) - total;Total_tp09;%;0;100;Walker and Adams, 1958. Particularly used for Total P.;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Boron (B) - total;Total_tp10;%;0;100;Colorimetric, unspecified extract;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Boron (B) - total;Total_unkn;%;0;100;Unspecified method;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Boron (B) - total;Total_xrd;%;0;100;XRD;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Boron (B) - total;Total_xrf;%;0;100;XRF;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Boron (B) - total;Total_xrf-p;%;0;100;PXRF;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Boron (B) - total;Total_xtf-t;%;0;100;TXRF;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
bulkDensityFineEarthProperty;BlkDensF_fe-cl-fc;kg/dm3;0.01;2.65;Fine earth. Clod samples (natural clods or reconstituted from < 2mm sample), at field capacity (0.33 bar, 33 kPa, 330 cm, pF 2.5), corrected for coarse fragments if any;"kg/dm3;g/cm3;Mg/m3;kg/m3";"1;1;1;0.001";kg/dm3 = g/cm3 = Mg/m3
bulkDensityFineEarthProperty;BlkDensF_fe-cl-od;kg/dm3;0.01;2.65;Fine earth. Clod samples (natural clods or reconstituted from < 2mm sample), at oven dry, corrected for coarse fragments if any;"kg/dm3;g/cm3;Mg/m3;kg/m3";"1;1;1;0.001";kg/dm3 = g/cm3 = Mg/m3
bulkDensityFineEarthProperty;BlkDensF_fe-cl-unkn;kg/dm3;0.01;2.65;Fine earth. Clod samples (natural clods or reconstituted from < 2mm sample), at unknown humidity, corrected for coarse fragments if any;"kg/dm3;g/cm3;Mg/m3;kg/m3";"1;1;1;0.001";kg/dm3 = g/cm3 = Mg/m3
bulkDensityFineEarthProperty;BlkDensF_fe-co-fc;kg/dm3;0.01;2.65;Fine earth. Core sampling (pF rings), at field capacity (0.33 bar, 33 kPa, 336 cm, pF 2.5), corrected for coarse fragments if any;"kg/dm3;g/cm3;Mg/m3;kg/m3";"1;1;1;0.001";kg/dm3 = g/cm3 = Mg/m3
bulkDensityFineEarthProperty;BlkDensF_fe-co-od;kg/dm3;0.01;2.65;Fine earth. Core sampling (pF rings), at oven dry, corrected for coarse fragments if any;"kg/dm3;g/cm3;Mg/m3;kg/m3";"1;1;1;0.001";kg/dm3 = g/cm3 = Mg/m3
bulkDensityFineEarthProperty;BlkDensF_fe-co-unkn;kg/dm3;0.01;2.65;Fine earth. Core sampling (pF rings), at unknown humidity, corrected for coarse fragments if any;"kg/dm3;g/cm3;Mg/m3;kg/m3";"1;1;1;0.001";kg/dm3 = g/cm3 = Mg/m3
bulkDensityFineEarthProperty;BlkDensF_fe-rpl-unkn;kg/dm3;0.01;2.65;Fine earth. Excavation and replacement (i.e. soils too fragile to remove a stable sample) e.g. by auger, at unknown humidity, corrected for coarse fragments if any;"kg/dm3;g/cm3;Mg/m3;kg/m3";"1;1;1;0.001";kg/dm3 = g/cm3 = Mg/m3
bulkDensityFineEarthProperty;BlkDensF_fe-unkn;kg/dm3;0.01;2.65;Fine earth. Type of sample unknown, at unknown humidity, corrected for coarse fragments if any;"kg/dm3;g/cm3;Mg/m3;kg/m3";"1;1;1;0.001";kg/dm3 = g/cm3 = Mg/m3
bulkDensityFineEarthProperty;BlkDensF_fe-unkn-fc;kg/dm3;0.01;2.65;Fine earth. Type of sample unknown, at field capacity (0.33 bar, 33 kPa, 330 cm, pF 2.5), corrected for coarse fragments if any;"kg/dm3;g/cm3;Mg/m3;kg/m3";"1;1;1;0.001";kg/dm3 = g/cm3 = Mg/m3
bulkDensityFineEarthProperty;BlkDensF_fe-unkn-od;kg/dm3;0.01;2.65;Fine earth. Type of sample unknown, at oven dry, corrected for coarse fragments if any;"kg/dm3;g/cm3;Mg/m3;kg/m3";"1;1;1;0.001";kg/dm3 = g/cm3 = Mg/m3
bulkDensityWholeSoilProperty;BlkDensW_we-cl-fc;kg/dm3;0.01;3.6;Whole earth. Clod samples (natural clods), at field capacity (0.33 bar, 33 kPa, 330 cm, pF 2.5), not corrected for coarse fragments if any;"kg/dm3;g/cm3;Mg/m3;kg/m3";"1;1;1;0.001";kg/dm3 = g/cm3 = Mg/m3
bulkDensityWholeSoilProperty;BlkDensW_we-cl-od;kg/dm3;0.01;3.6;Whole earth. Clod samples (natural clods), at oven dry, not corrected for coarse fragments if any;"kg/dm3;g/cm3;Mg/m3;kg/m3";"1;1;1;0.001";kg/dm3 = g/cm3 = Mg/m3
bulkDensityWholeSoilProperty;BlkDensW_we-cl-unkn;kg/dm3;0.01;3.6;Whole earth. Clod samples (natural clods), at unknown humidity, not corrected for coarse fragments if any;"kg/dm3;g/cm3;Mg/m3;kg/m3";"1;1;1;0.001";kg/dm3 = g/cm3 = Mg/m3
bulkDensityWholeSoilProperty;BlkDensW_we-co-fc;kg/dm3;0.01;3.6;Whole earth. Core sampling (pF rings), at field capacity (0.33 bar, 33 kPa, 336 cm, pF 2.5), not corrected for coarse fragments if any;"kg/dm3;g/cm3;Mg/m3;kg/m3";"1;1;1;0.001";kg/dm3 = g/cm3 = Mg/m3
bulkDensityWholeSoilProperty;BlkDensW_we-co-od;kg/dm3;0.01;3.6;Whole earth. Core sampling (pF rings), at oven dry, not corrected for coarse fragments if any;"kg/dm3;g/cm3;Mg/m3;kg/m3";"1;1;1;0.001";kg/dm3 = g/cm3 = Mg/m3
bulkDensityWholeSoilProperty;BlkDensW_we-co-unkn;kg/dm3;0.01;3.6;Whole earth. Core sampling (pF rings), at unknown humidity, not corrected for coarse fragments if any;"kg/dm3;g/cm3;Mg/m3;kg/m3";"1;1;1;0.001";kg/dm3 = g/cm3 = Mg/m3
bulkDensityWholeSoilProperty;BlkDensW_we-rpl-unkn;kg/dm3;0.01;3.6;Whole earth. Excavation and replacement (i.e. soils too fragile to remove a stable sample) e.g. by auger, at unknown humidity, not corrected for coarse fragments if any;"kg/dm3;g/cm3;Mg/m3;kg/m3";"1;1;1;0.001";kg/dm3 = g/cm3 = Mg/m3
bulkDensityWholeSoilProperty;BlkDensW_we-unkn;kg/dm3;0.01;3.6;Whole earth. Type of sample unknown, at unknown humidity, not corrected for coarse fragments if any;"kg/dm3;g/cm3;Mg/m3;kg/m3";"1;1;1;0.001";kg/dm3 = g/cm3 = Mg/m3
cadmiumProperty;Extr_ap14;%;0;100;Method of Saunders and Metelerkamp (anion-exch. resin). Particularly used for available P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g (trace element)
cadmiumProperty;Extr_ap15;%;0;100;Method of Hunter (1975) modified after ISFEI method. Particularly used for available P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g (trace element)
cadmiumProperty;Extr_ap20;%;0;100;Olsen (not acid soils) resp. Bray I (acid soils). Particularly used for available P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g (trace element)
cadmiumProperty;Extr_ap21;%;0;100;Olsen (if pH > 7) resp. Mehlich (if pH < 7). Particularly used for available P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g (trace element)
cadmiumProperty;Extr_c6h8o7-reeuwijk;%;0;100;Complexation with citric acid (van Reeuwijk). Particularly used for available P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g (trace element)
cadmiumProperty;Extr_cacl2;%;0;100;CaCl2. Particularly used for soluble P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g (trace element)
cadmiumProperty;Extr_capo4;%;0;100;Ca phosphate. Particularly used for available S.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g (trace element)
cadmiumProperty;Extr_dtpa;%;0;100;DiethyneleTriaminePentaAcetic acid (DTPA) method;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g (trace element)
